t_s,segment,position_km,speed_ms,speed_kmh,speed_limit_ms,over_limit_ms,action,action_name,energy_kwh
0.0,0,0.000,15.000,54.00,1.00,0.00,0,Brake,0.0000
1.0,0,0.000,14.200,51.12,1.00,0.00,1,Coast,0.0000
2.0,0,0.000,14.192,51.09,1.00,0.00,1,Coast,0.0000
3.0,0,0.000,14.185,51.06,1.00,0.00,1,Coast,0.0000
4.0,0,0.000,14.177,51.04,1.00,0.00,1,Coast,0.0000
5.0,0,0.000,14.169,51.01,1.00,0.00,1,Coast,0.0000
6.0,0,0.000,14.162,50.98,1.00,0.00,1,Coast,0.0000
7.0,0,0.000,14.154,50.96,1.00,0.00,1,Coast,0.0000
8.0,1,0.100,14.147,50.93,11.10,3.05,1,Coast,0.0000
9.0,1,0.100,14.131,50.87,11.10,3.03,1,Coast,0.0000
10.0,1,0.100,14.116,50.82,11.10,3.02,1,Coast,0.0000
11.0,1,0.100,14.100,50.76,11.10,3.00,1,Coast,0.0000
12.0,1,0.100,14.085,50.71,11.10,2.98,1,Coast,0.0000
13.0,1,0.100,14.069,50.65,11.10,2.97,1,Coast,0.0000
14.0,1,0.100,14.054,50.59,11.10,2.95,1,Coast,0.0000
15.0,2,0.200,14.039,50.54,11.10,2.94,1,Coast,0.0000
16.0,2,0.200,13.961,50.26,11.10,2.86,1,Coast,0.0000
17.0,2,0.200,13.883,49.98,11.10,2.78,1,Coast,0.0000
18.0,2,0.200,13.806,49.70,11.10,2.71,1,Coast,0.0000
19.0,2,0.200,13.728,49.42,11.10,2.63,1,Coast,0.0000
20.0,2,0.200,13.650,49.14,11.10,2.55,1,Coast,0.0000
21.0,2,0.200,13.573,48.86,11.10,2.47,1,Coast,0.0000
22.0,3,0.300,13.496,48.58,11.10,2.40,1,Coast,0.0000
23.0,3,0.300,13.437,48.37,11.10,2.34,1,Coast,0.0000
24.0,3,0.300,13.378,48.16,11.10,2.28,1,Coast,0.0000
25.0,3,0.300,13.320,47.95,11.10,2.22,1,Coast,0.0000
26.0,3,0.300,13.261,47.74,11.10,2.16,1,Coast,0.0000
27.0,3,0.300,13.203,47.53,11.10,2.10,1,Coast,0.0000
28.0,3,0.300,13.144,47.32,11.10,2.04,1,Coast,0.0000
29.0,4,0.400,13.086,47.11,11.10,1.99,1,Coast,0.0000
30.0,4,0.400,13.075,47.07,11.10,1.98,1,Coast,0.0000
31.0,4,0.400,13.064,47.03,11.10,1.96,1,Coast,0.0000
32.0,4,0.400,13.053,46.99,11.10,1.95,1,Coast,0.0000
33.0,4,0.400,13.042,46.95,11.10,1.94,1,Coast,0.0000
34.0,4,0.400,13.031,46.91,11.10,1.93,1,Coast,0.0000
35.0,4,0.400,13.020,46.87,11.10,1.92,1,Coast,0.0000
