t_s,segment,position_km,speed_ms,speed_kmh,speed_limit_ms,over_limit_ms,action,action_name,energy_kwh
0.0,0,0.000,15.000,54.00,1.00,0.00,0,Brake,0.0000
1.0,0,0.000,14.200,51.12,1.00,0.00,0,Brake,0.0000
2.0,0,0.000,13.400,48.24,1.00,0.00,0,Brake,0.0000
3.0,0,0.000,12.600,45.36,1.00,0.00,0,Brake,0.0000
4.0,0,0.000,11.800,42.48,1.00,0.00,0,Brake,0.0000
5.0,0,0.000,11.000,39.60,1.00,0.00,0,Brake,0.0000
6.0,0,0.000,10.200,36.72,1.00,0.00,0,Brake,0.0000
7.0,0,0.000,9.400,33.84,1.00,0.00,0,Brake,0.0000
8.0,0,0.000,8.600,30.96,1.00,0.00,0,Brake,0.0000
9.0,1,0.100,7.800,28.08,11.10,0.00,3,Power,0.0000
10.0,1,0.100,8.400,30.24,11.10,0.00,3,Power,1.0500
11.0,1,0.100,9.000,32.40,11.10,0.00,3,Power,2.0972
12.0,1,0.100,9.600,34.56,11.10,0.00,2,Cruise,3.1420
13.0,1,0.100,9.600,34.56,11.10,0.00,2,Cruise,3.1542
14.0,1,0.100,9.600,34.56,11.10,0.00,2,Cruise,3.1663
15.0,1,0.100,9.600,34.56,11.10,0.00,2,Cruise,3.1785
16.0,1,0.100,9.600,34.56,11.10,0.00,2,Cruise,3.1906
17.0,1,0.100,9.600,34.56,11.10,0.00,2,Cruise,3.2027
18.0,1,0.100,9.600,34.56,11.10,0.00,2,Cruise,3.2149
19.0,1,0.100,9.600,34.56,11.10,0.00,2,Cruise,3.2270
20.0,2,0.200,9.600,34.56,11.10,0.00,1,Coast,3.2392
21.0,2,0.200,9.527,34.30,11.10,0.00,3,Power,3.2392
22.0,2,0.200,10.127,36.46,11.10,0.00,1,Coast,4.2821
23.0,2,0.200,10.053,36.19,11.10,0.00,1,Coast,4.2821
24.0,2,0.200,9.979,35.93,11.10,0.00,1,Coast,4.2821
