t_s,segment,position_km,speed_ms,speed_kmh,speed_limit_ms,over_limit_ms,action,action_name,energy_kwh
0.0,0,0.000,15.000,54.00,1.00,0.00,0,Brake,0.0000
1.0,0,0.000,14.200,51.12,1.00,0.00,0,Brake,0.0000
2.0,0,0.000,13.400,48.24,1.00,0.00,0,Brake,0.0000
3.0,0,0.000,12.600,45.36,1.00,0.00,0,Brake,0.0000
4.0,0,0.000,11.800,42.48,1.00,0.00,0,Brake,0.0000
5.0,0,0.000,11.000,39.60,1.00,0.00,0,Brake,0.0000
6.0,0,0.000,10.200,36.72,1.00,0.00,0,Brake,0.0000
7.0,0,0.000,9.400,33.84,1.00,0.00,0,Brake,0.0000
8.0,0,0.000,8.600,30.96,1.00,0.00,0,Brake,0.0000
9.0,1,0.100,7.800,28.08,11.10,0.00,3,Power,0.0000
10.0,1,0.100,8.400,30.24,11.10,0.00,1,Coast,1.0500
11.0,1,0.100,8.390,30.21,11.10,0.00,3,Power,1.0500
12.0,1,0.100,8.990,32.37,11.10,0.00,1,Coast,2.0973
13.0,1,0.100,8.980,32.33,11.10,0.00,1,Coast,2.0973
14.0,1,0.100,8.970,32.29,11.10,0.00,1,Coast,2.0973
15.0,1,0.100,8.960,32.25,11.10,0.00,1,Coast,2.0973
16.0,1,0.100,8.950,32.22,11.10,0.00,1,Coast,2.0973
17.0,1,0.100,8.939,32.18,11.10,0.00,1,Coast,2.0973
18.0,1,0.100,8.929,32.15,11.10,0.00,1,Coast,2.0973
19.0,1,0.100,8.919,32.11,11.10,0.00,1,Coast,2.0973
20.0,1,0.100,8.909,32.07,11.10,0.00,1,Coast,2.0973
21.0,2,0.200,8.899,32.04,11.10,0.00,1,Coast,2.0973
22.0,2,0.200,8.826,31.77,11.10,0.00,1,Coast,2.0973
23.0,2,0.200,8.754,31.51,11.10,0.00,1,Coast,2.0973
24.0,2,0.200,8.681,31.25,11.10,0.00,1,Coast,2.0973
