t_s,segment,position_km,speed_ms,speed_kmh,speed_limit_ms,over_limit_ms,action,action_name,energy_kwh
0.0,0,0.000,15.000,54.00,1.00,0.00,0,Brake,0.0000
1.0,0,0.000,14.200,51.12,1.00,0.00,0,Brake,0.0000
2.0,0,0.000,13.400,48.24,1.00,0.00,0,Brake,0.0000
3.0,0,0.000,12.600,45.36,1.00,0.00,0,Brake,0.0000
4.0,0,0.000,11.800,42.48,1.00,0.00,0,Brake,0.0000
5.0,0,0.000,11.000,39.60,1.00,0.00,0,Brake,0.0000
6.0,0,0.000,10.200,36.72,1.00,0.00,0,Brake,0.0000
7.0,0,0.000,9.400,33.84,1.00,0.00,0,Brake,0.0000
8.0,0,0.000,8.600,30.96,1.00,0.00,0,Brake,0.0000
9.0,1,0.100,7.800,28.08,11.10,0.00,1,Coast,0.0000
10.0,1,0.100,7.759,27.93,11.10,0.00,1,Coast,0.0000
11.0,1,0.100,7.718,27.79,11.10,0.00,1,Coast,0.0000
12.0,1,0.100,7.677,27.64,11.10,0.00,1,Coast,0.0000
13.0,1,0.100,7.636,27.49,11.10,0.00,1,Coast,0.0000
14.0,1,0.100,7.595,27.34,11.10,0.00,1,Coast,0.0000
15.0,1,0.100,7.555,27.20,11.10,0.00,1,Coast,0.0000
16.0,1,0.100,7.514,27.05,11.10,0.00,1,Coast,0.0000
17.0,1,0.100,7.473,26.90,11.10,0.00,1,Coast,0.0000
18.0,1,0.100,7.432,26.76,11.10,0.00,1,Coast,0.0000
19.0,1,0.100,7.392,26.61,11.10,0.00,1,Coast,0.0000
20.0,1,0.100,7.351,26.46,11.10,0.00,1,Coast,0.0000
21.0,1,0.100,7.310,26.32,11.10,0.00,1,Coast,0.0000
22.0,2,0.200,7.270,26.17,11.10,0.00,1,Coast,0.0000
23.0,2,0.200,7.398,26.63,11.10,0.00,1,Coast,0.0000
24.0,2,0.200,7.527,27.10,11.10,0.00,1,Coast,0.0000
