t_s,segment,position_km,speed_ms,speed_kmh,speed_limit_ms,over_limit_ms,action,action_name,energy_kwh
0.0,0,0.000,15.000,54.00,1.00,0.00,0,Brake,0.0000
1.0,0,0.000,14.200,51.12,1.00,0.00,0,Brake,0.0000
2.0,0,0.000,13.400,48.24,1.00,0.00,0,Brake,0.0000
3.0,0,0.000,12.600,45.36,1.00,0.00,0,Brake,0.0000
4.0,0,0.000,11.800,42.48,1.00,0.00,0,Brake,0.0000
5.0,0,0.000,11.000,39.60,1.00,0.00,0,Brake,0.0000
6.0,0,0.000,10.200,36.72,1.00,0.00,0,Brake,0.0000
7.0,0,0.000,9.400,33.84,1.00,0.00,0,Brake,0.0000
8.0,0,0.000,8.600,30.96,1.00,0.00,0,Brake,0.0000
9.0,1,0.100,7.800,28.08,11.10,0.00,3,Power,0.0000
10.0,1,0.100,8.400,30.24,11.10,0.00,3,Power,1.0500
11.0,1,0.100,9.000,32.40,11.10,0.00,3,Power,2.0972
12.0,1,0.100,9.600,34.56,11.10,0.00,1,Coast,3.1420
13.0,1,0.100,9.557,34.41,11.10,0.00,1,Coast,3.1420
14.0,1,0.100,9.515,34.25,11.10,0.00,1,Coast,3.1420
15.0,1,0.100,9.473,34.10,11.10,0.00,1,Coast,3.1420
16.0,1,0.100,9.430,33.95,11.10,0.00,1,Coast,3.1420
17.0,1,0.100,9.388,33.80,11.10,0.00,1,Coast,3.1420
18.0,1,0.100,9.345,33.64,11.10,0.00,3,Power,3.1420
19.0,1,0.100,9.945,35.80,11.10,0.00,1,Coast,4.1856
20.0,2,0.200,9.903,35.65,11.10,0.00,1,Coast,4.1856
21.0,2,0.200,10.029,36.10,11.10,0.00,1,Coast,4.1856
22.0,2,0.200,10.155,36.56,11.10,0.00,1,Coast,4.1856
23.0,2,0.200,10.281,37.01,11.10,0.00,1,Coast,4.1856
24.0,2,0.200,10.407,37.46,11.10,0.00,1,Coast,4.1856
